id,nombre_asp,cantidad_especies,lista_especies
areas_silvestres_protegidas.154,Saimiri,"0",
areas_silvestres_protegidas.155,Rancho La Merced,"0",
areas_silvestres_protegidas.156,Piedras Blancas,"1",Thyroptera tricolor
areas_silvestres_protegidas.157,Pejeperrito,"0",
areas_silvestres_protegidas.158,Corcovado,"3","Rhynchonycteris naso, Desmodus rotundus, Artibeus watsoni"
areas_silvestres_protegidas.159,Marino Ballena,"0",
areas_silvestres_protegidas.160,Tivives,"0",
areas_silvestres_protegidas.161,Santa Rosa,"17","Glossophaga soricina, Saccopteryx bilineata, Artibeus jamaicensis, Carollia castanea, Desmodus rotundus, Artibeus toltecus, Sturnira parvidens, Centurio senex, Artibeus phaeotis, Rhogeessa tumida, Balantiopteryx plicata, Pteronotus personatus, Pteronotus parnellii, Carollia subrufa, Platyrrhinus helleri, Carollia perspicillata, Artibeus lituratus"
areas_silvestres_protegidas.162,Santa Rosa,"0",
areas_silvestres_protegidas.163,Guanacaste,"10","Glossophaga soricina, Saccopteryx bilineata, Vampyressa pusilla, Carollia castanea, Lionycteris spurrelli, Artibeus phaeotis, Uroderma bilobatum, Carollia subrufa, Carollia brevicaudum, Carollia perspicillata"
areas_silvestres_protegidas.164,Bahia Junquillal,"0",
areas_silvestres_protegidas.165,Rincon de la Vieja,"7","Micronycteris microtis, Vampyrodes major, Myotis nigricans, Natalus mexicanus, Carollia subrufa, Carollia perspicillata, Artibeus lituratus"
areas_silvestres_protegidas.166,Bahia Santa Elena,"0",
areas_silvestres_protegidas.167,Guanacaste,"0",
areas_silvestres_protegidas.168,Quebrada Rosario,"0",
areas_silvestres_protegidas.169,Santa Rosa,"0",
areas_silvestres_protegidas.170,Bahia Junquillal,"0",
areas_silvestres_protegidas.171,Internacional La Amistad,"11","Micronycteris megalotis, Hylonycteris underwoodi, Platyrrhinus vittatus, Sturnira burtonlimi, Sturnira ludovici, Myotis nigricans, Myotis oxyotus, Myotis keaysi, Artibeus toltecus, Carollia subrufa, Artibeus lituratus"
areas_silvestres_protegidas.172,Bicentenario de la República - Pájaro Campana,"0",
